"Activity" "ID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "angle(tBodyAccMean,gravity)" "angle(tBodyAccJerkMean),gravityMean)" "angle(tBodyGyroMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
"LAYING" 1 0.2900428926 -0.012116192302 -0.103817780406 -0.59638638136 -0.585755030912 -0.6728396528 0.7510816104 0.01702421366 0.16454202118 -0.9741349938 -0.9564340932 -0.939392321 0.05988875992 -0.01360091052 -0.01359299896486 -0.6890473033 -0.66801884392 -0.8129210022 -0.055375547448 -0.07320626083 0.08715611562 -0.714718285248 -0.7463035838 -0.716751969 -0.102474260544 -0.0337230969672 -0.0365797959868 -0.7437833928 -0.8682112798 -0.7806577028 -0.57529824776 -0.58569463758 -0.57529824776 -0.58569463758 -0.7082439262 -0.67885946106 -0.634371457786 -0.68485153348 -0.8192961982 -0.8374621552 -0.639898237134 -0.6034105715 -0.7218640048 -0.58109953022 -0.60392450822 -0.6737175682 -0.22867039016 0.01043929534 0.043972132136 -0.70736434994 -0.68846405434 -0.7979470146 -0.698087422178 -0.66836855564 -0.8265174702 -0.08502478336 -0.24066908006 -0.141030316398 -0.6697040969 -0.7868448266 -0.6983275958 -0.730659563412 -0.728353944 -0.750467236 -0.1392373893806 -0.254718950773 -0.0499863525808 -0.610443274002 -0.637178989418 -0.000482940363999999 -0.6809670031 -0.67894214156 0.111127104084 -0.7377247074 -0.7057034766286 -0.15374320248842 -0.8401233302 -0.8455433604 0.04411563384 -0.0585996955126 0.03273437162 0.07247391192 -0.03032828232 -0.6467764924 0.06056471058 -0.0977636028
"LAYING" 2 0.278518110354167 -0.022189093693125 -0.102214701570833 -0.221726526204167 -0.211292001689583 -0.253830831275 0.786646635416667 -0.0729663264166667 0.0766767556152083 -0.963029235 -0.930413056458333 -0.910566347291667 0.0676622267854167 0.00765384906666667 -0.034387741513125 -0.342153708816667 -0.410378018708333 -0.635142448125 0.00537132333958334 -0.101220758677083 0.0858976693622917 -0.380239132770833 -0.295064368083333 -0.428066393333333 -0.10866793434125 -0.0677589314541667 -0.0611381010270833 -0.5771142934375 -0.723386785208333 -0.597237304166667 -0.18301572354375 -0.180441282589583 -0.18301572354375 -0.180441282589583 -0.430767792708333 -0.330570547666667 -0.184498418631667 -0.260527646395833 -0.651343153958333 -0.721962264583333 -0.247221716897917 -0.248435249541667 -0.406311956666667 -0.21324521370625 -0.242567289770833 -0.241530398416667 -0.383854411416667 -0.07097431025 -0.08610465338125 -0.367397939860417 -0.43588233125 -0.596628823541667 -0.375322730729167 -0.422687453689583 -0.67305996625 -0.312783104895833 -0.382899231458333 -0.2784292353125 -0.3479721239375 -0.474791372708333 -0.406175704166667 -0.39876058925 -0.214677673020833 -0.488830725833333 -0.252643835579167 -0.425037168958333 -0.181232865416667 -0.200152630572917 -0.298338187020833 -0.03981178338125 -0.329490624770833 -0.337974359347917 0.0154672293964583 -0.439527434679167 -0.278608126520833 -0.24932690888 -0.718039818125 -0.747825823541667 0.0939657609770833 0.0214135083479167 -0.0198304491041667 -0.0620323985 -0.0119642823477083 -0.674804070833333 0.124788895625 -0.0349603834020833
"LAYING" 3 0.279346251935484 -0.0198837234112903 -0.110053725935484 -0.652550978532258 -0.559674125498387 -0.655276989225806 0.690465702419355 0.0457216635 0.182712588990323 -0.976516621612903 -0.958319240322581 -0.946853895806452 0.0995612005725806 -0.0116951573466129 0.000324468522741937 -0.722747333843548 -0.704254468306452 -0.81399363016129 0.0214397052387097 -0.0927521956903226 0.0827280191129032 -0.734538601290323 -0.735047386129032 -0.698071496129032 -0.0882256843064516 -0.0403751324769355 -0.057241399316129 -0.756214923612903 -0.862804019032258 -0.798543270483871 -0.59831907683871 -0.6544373225 -0.59831907683871 -0.6544373225 -0.72873112866129 -0.724039185370968 -0.648469084451613 -0.703080243354839 -0.820109162419355 -0.845155435967742 -0.68591946 -0.603539627274194 -0.723435741290323 -0.641445813887097 -0.566623366266129 -0.649638949645161 -0.291829512806452 -0.0414285242919355 0.0475140423064516 -0.73684409516129 -0.723466088483871 -0.80505190016129 -0.733190648677419 -0.703224047967742 -0.821628945483871 -0.0841181374516129 -0.248185155427419 -0.150502051467742 -0.69578773883871 -0.779198417096774 -0.70990669516129 -0.749091647741935 -0.715829513774194 -0.722603497419355 -0.107341682241935 -0.235271043193548 -0.0757657519598387 -0.668477750258065 -0.701003550677419 0.0489483205145161 -0.722309817822581 -0.728632282974194 0.179438549129516 -0.754709329516129 -0.723273270370968 -0.116890503022581 -0.847191250322581 -0.853742620645161 0.164329706277419 -0.00417918975483871 -0.0481517125403226 -0.00364788838064516 -0.0676611452903226 -0.556873915080645 0.0369053435951613 -0.112327256501613
"LAYING" 4 0.269818065668519 -0.0200446133848148 -0.11146585595 -0.567633274074074 -0.464810825796296 -0.518733022740741 0.785200351296296 -0.00663960822222222 0.093972478635 -0.962650565740741 -0.965409821111111 -0.948656184814815 0.111522925388889 0.0305726880438889 -0.0426666802591852 -0.618921342962963 -0.583797575 -0.754284750925926 -0.0334151650185185 -0.079309933407037 0.0957315232203704 -0.612346861833333 -0.537547992322222 -0.544668195555556 -0.0897171225296296 -0.0334337122407407 -0.059203023187037 -0.652026376296296 -0.768383963518519 -0.715587963888889 -0.500176681222222 -0.558595932944444 -0.500176681222222 -0.558595932944444 -0.630856135185185 -0.616374762037037 -0.454469179125926 -0.583396445740741 -0.723250323518518 -0.763208611851852 -0.581199423148148 -0.501418992574074 -0.624453056481482 -0.563145350555556 -0.480742696 -0.503000248277778 -0.276398788240741 0.0113587513333333 -0.0377395937166667 -0.628912647592593 -0.603040757407407 -0.731413766111111 -0.642975867777778 -0.591224105185185 -0.776230253148148 -0.11550837455 -0.243554301925926 -0.17971177753 -0.570087249444444 -0.616027504833333 -0.566637165 -0.628635751925926 -0.499962619907407 -0.57996366537037 -0.112110765192593 -0.292756823962963 -0.0903105144259259 -0.557190384037037 -0.628056308148148 0.0601095939796296 -0.609414200555556 -0.628381001481481 0.177395701132407 -0.646285618888889 -0.613836846722222 -0.104694692479259 -0.767784617592593 -0.774091082037037 0.112775163427778 0.0261320467407407 -0.0744535514248148 -0.062135862387037 -0.00464520822777778 -0.610066773388889 0.0837247510092593 -0.038345063637037
"LAYING" 5 0.274235908826923 -0.0185580810961538 -0.100313805769231 -0.0914151495 -0.0496821762096154 -0.180974033615385 0.906267796346154 -0.0971398830192308 0.116568880126923 -0.960301239038462 -0.941269289038462 -0.904309864038462 0.112527064288462 0.009137657175 0.0213245892653846 -0.229369195567308 -0.132993241957692 -0.474920994423077 -0.0264928310825 -0.0714380945384615 0.0859215099807692 -0.435843411471154 -0.206738719442308 -0.322948149346154 -0.0677131163075 -0.0544799884134615 -0.0598300810519231 -0.487526110384615 -0.597642633269231 -0.480342030576923 -0.0320017933138462 -0.125704645365385 -0.0320017933138462 -0.125704645365385 -0.267363413665385 -0.1383583964 -0.1662747455 -0.276435024519231 -0.542484222692308 -0.607459560192308 -0.121438515540385 -0.0265459886769231 -0.267235999288462 -0.0817034743023077 -0.124262722982692 -0.204317039457692 -0.395401823942308 0.068738055525 0.03875184955 -0.229309943332692 -0.150893199115385 -0.408431176923077 -0.301626021019231 -0.176268549951923 -0.542238261346154 -0.227446473401923 -0.219829889288462 -0.105684795011538 -0.354221193371154 -0.3428002975 -0.286101112519231 -0.468406987441731 -0.14258990425 -0.398320146538462 -0.105265512511538 -0.353700322307692 -0.101631614318269 -0.117896072169231 -0.267515357320192 -0.00958300409230769 -0.132117917319231 -0.153752194949612 -0.0835948631115385 -0.383891463954423 -0.332618813048077 -0.0662873313923077 -0.610851442115385 -0.631232378461538 0.045189584 0.0023929435825 -0.0844007252115385 -0.0467548894807692 -0.0726403417021154 -0.815122648846154 0.149636928846154 -0.0643189016519231
"LAYING" 6 0.26898945 -0.0179963255596491 -0.111653581807018 -0.796204794842105 -0.750154400596491 -0.792852148947368 0.0224500854385965 0.260018801175439 0.392746200333333 -0.962130028245614 -0.972022333684211 -0.972370888070175 0.0833909507859649 0.000382079828070175 -0.0150274436915789 -0.807294929421053 -0.772418574333333 -0.840782009122807 -0.0299117872185965 -0.0908355292631579 0.143773707531579 -0.860756733157895 -0.846276872105263 -0.783248502140351 -0.105133872008772 -0.0362650224368421 -0.0688111880701754 -0.860293815789474 -0.882073793859649 -0.852546817017544 -0.769365897814035 -0.795448203157895 -0.769365897814035 -0.795448203157895 -0.796734302105263 -0.797730461333333 -0.785013652105263 -0.814487806017544 -0.87061108754386 -0.886620865438597 -0.792789297947368 -0.752198663526316 -0.803713955789474 -0.798170487824561 -0.765177342070175 -0.803163165964912 -0.203364129664912 0.100815278038596 0.230355322754386 -0.817366873935088 -0.790167017421053 -0.835643497192982 -0.813909145842105 -0.768503152912281 -0.844690701929825 -0.0160057532929825 -0.0789717404508772 -0.0247203326842105 -0.835798273508772 -0.850572041052632 -0.793471627684211 -0.869758828947368 -0.845285668245614 -0.800696316105263 -0.0546201548824561 -0.0718737130754386 0.118884986896316 -0.782429250526316 -0.835388219754386 0.215946407882456 -0.794631874894737 -0.803337292403509 0.255328020947368 -0.837957147368421 -0.832025017789474 0.0779807275263158 -0.888699722982456 -0.891971127719298 0.232782354936842 -0.000184067325789475 -0.0294719903175439 -0.0651607809789474 0.00977770305263157 0.105785701052632 -0.113412617473684 -0.297012751701754
"LAYING" 7 0.274887857692308 -0.0185976413596154 -0.103359100961538 -0.783648330134615 -0.751736398634615 -0.827143629615385 0.707236040769231 -0.0106232875 0.127906057240385 -0.982442799423077 -0.961859902884615 -0.953661810384615 0.104360962192308 -0.00345551534480769 0.0252660667652115 -0.810789398732692 -0.825654607326923 -0.895001110961538 -0.0136790057634615 -0.0776599125596154 0.0865029066230769 -0.829667778653846 -0.890011365192308 -0.814613280384615 -0.0871889819057692 -0.0378259904442308 -0.0769954045936539 -0.861017636346154 -0.923456068076923 -0.868450241538462 -0.764378243634615 -0.759794850769231 -0.764378243634615 -0.759794850769231 -0.830505259384615 -0.815605689073077 -0.795817832346154 -0.825351054826923 -0.896656981923077 -0.904777112115385 -0.789168569769231 -0.769381272846154 -0.846981758076923 -0.782041357865385 -0.758795780290385 -0.830939462307692 -0.131129199492308 -0.0202177502480769 0.0389995254557692 -0.814727472955769 -0.831334648134615 -0.884941133269231 -0.823923469711539 -0.831679231538462 -0.903636392115385 0.0527352249596154 -0.2152830440375 -0.0707915732265385 -0.811677867826923 -0.892062390384615 -0.807508063211538 -0.836919680576923 -0.890244807884615 -0.834206124423077 -0.126688322561538 -0.207405927721154 -0.0723157223730769 -0.769102999461538 -0.791656662557692 0.0772582360596154 -0.807023574865385 -0.828580389865385 0.172127022094231 -0.852589536538462 -0.837831258846154 -0.133399280134615 -0.905501787692308 -0.91054872 0.00574003195769231 0.0222433055619231 -0.0394983004673077 -0.0797243268446154 0.00548194909615385 -0.539737503326923 0.0791788089615385 -0.0754245621134615
"LAYING" 8 0.277586134981481 -0.01858851094 -0.100599513796296 -0.30209562837037 -0.252734178825926 -0.37029875537037 0.840187051296296 -0.0727212006296296 0.0638699982592593 -0.968701192037037 -0.949824427037037 -0.931228495185185 0.0687816268333333 0.0196195920092593 0.0140868792796296 -0.406761030266667 -0.350580351 -0.602175888148148 -0.0288991238444444 -0.0832296560981481 0.0886057393592593 -0.441125959611111 -0.389972724555556 -0.402094099962963 -0.0779974960759259 -0.0638196678092593 -0.0473456383814815 -0.502503063407407 -0.676158544444444 -0.554539027962963 -0.247093863571667 -0.319191813142593 -0.247093863571667 -0.319191813142593 -0.417225668074074 -0.40076456315 -0.261551546503889 -0.431817795222222 -0.601905762037037 -0.650541240740741 -0.328740812172222 -0.249049165622222 -0.45254455037037 -0.293443015031481 -0.304566729907407 -0.37733488487037 -0.334257696666667 0.0216375249557407 0.0543644330909259 -0.411851337148148 -0.370264925148148 -0.559329860740741 -0.456657380962963 -0.3751698874 -0.644282138148148 -0.176667908277778 -0.270972176896296 -0.115948782103704 -0.390381748722222 -0.464931352066852 -0.377290254185185 -0.462067785164815 -0.353406882777778 -0.46750326287037 -0.197861644051852 -0.24093738412963 -0.105316185851852 -0.310425829203704 -0.431548598648148 0.0687344357940741 -0.38313717285 -0.428376303648148 0.0997027304111111 -0.495815553518519 -0.488254022818519 -0.0339988951222222 -0.645703634259259 -0.682035122222222 0.0813529660907407 0.022002795 0.0313320326444444 0.0160943412222222 -0.0702036885037037 -0.756491577222222 0.129861505611111 -0.0204177294811111
"LAYING" 9 0.2899199818 -0.018090657493298 -0.1057963796 -0.5378349819 -0.45495917107 -0.55325688354 0.8411252876 -0.05450615722 0.091182209204 -0.978831937 -0.9594476576 -0.9491893864 0.065586963146 -0.032964153844 0.00803550226346 -0.61033052892 -0.540050148676 -0.6962336658 -0.035804181104 -0.064057182 0.082752983374 -0.6440811733 -0.703631952 -0.58836616774 -0.100781940978 -0.036173644226 -0.061665301548 -0.6675802281 -0.8151499688 -0.6908902606 -0.47816827622 -0.55184398138 -0.47816827622 -0.55184398138 -0.591824711916 -0.59159444008 -0.5635853926 -0.62371822564 -0.7508917394 -0.7830940752 -0.56592784972 -0.46905118528 -0.6109471986 -0.52899806806 -0.483228650804 -0.56077779044 -0.22066529442 0.03699267238 0.05978365822 -0.62428188116 -0.57782338788 -0.6824492836 -0.631289708112 -0.529999270762 -0.708685114 -0.068220981676 -0.24280616062 -0.15407381495 -0.57948680712 -0.7304814302 -0.59180044876 -0.666459899 -0.6932406368 -0.62653543908 -0.148657534586 -0.1501267382858 -0.068286166296 -0.55552686784 -0.62082212782 0.08438434614 -0.59080294862 -0.5961298655 0.161434139096 -0.673022259 -0.65751845616 -0.07532846434 -0.7856472064 -0.7955529652 0.1440234293948 -0.0992766564894 0.103577161916 0.11969735766 0.00544679903 -0.7122012309 0.11409257526 -0.04490093431
"LAYING" 10 0.280731787068966 -0.0178874448486207 -0.102818648586207 -0.188801706689655 -0.209220352546552 -0.288443478296552 0.949586181551724 -0.115515235310345 0.0553839900741379 -0.957824782758621 -0.938903520862069 -0.905325908965517 0.0669754639258621 0.0137650177965517 0.0119494829081034 -0.297928537287931 -0.31203187332931 -0.574283743448276 -0.00316522737284483 -0.0831642239827586 0.0795685595396552 -0.469952012948276 -0.360982534841379 -0.39565611712069 -0.0728180813534483 -0.0770422852896552 -0.0380048092413793 -0.514599586034483 -0.691003068965517 -0.55598688137931 -0.148481978862069 -0.209378151482759 -0.148481978862069 -0.209378151482759 -0.362730440896552 -0.2808568999 -0.268379987575862 -0.358188138986207 -0.611851129827586 -0.674765175172414 -0.216809775992241 -0.19652174087931 -0.367537361896552 -0.179912389051724 -0.272601154381034 -0.307638640691379 -0.358557580117241 0.0476159813986207 -0.00419795031034483 -0.304693213563793 -0.326293446324138 -0.523888668965517 -0.356148650948276 -0.345425040972414 -0.625298983103448 -0.231565413298276 -0.280338893637931 -0.190978824725862 -0.385178303137931 -0.477363030862069 -0.380081509551724 -0.502407404655172 -0.306096829894828 -0.460209355862069 -0.112693251375862 -0.374069336551724 -0.108785133931034 -0.208884358310345 -0.334518751225862 -0.00385502421413793 -0.261802632361034 -0.310531580918966 0.0390635531017241 -0.474810028793103 -0.398093883656897 -0.132334139986897 -0.679138967931034 -0.69211521637931 0.0731040449827586 0.00453329058448276 0.00132909685517241 -0.0840394554718965 -0.0740492517413793 -0.853413464310345 0.163411748344828 -0.0173316149103448
